2020-Jun-07 18:59,18.80,148.80,7.01
2020-Jun-07 19:59,18.15,146.30,7.00
2020-Jun-07 20:59,17.89,146.70,7.00
2020-Jun-07 21:59,17.99,148.50,7.00
2020-Jun-07 22:59,17.81,146.20,7.00
2020-Jun-07 23:59,17.56,146.30,7.00
2020-Jun-08 00:59,17.21,145.30,7.01
2020-Jun-08 01:59,17.13,145.00,7.00
2020-Jun-08 02:59,16.72,144.90,7.00
2020-Jun-08 03:59,20.81,141.20,7.00
2020-Jun-08 04:59,20.49,141.00,7.00
2020-Jun-08 05:59,20.50,143.90,7.01
2020-Jun-08 06:59,20.46,143.80,7.01
2020-Jun-08 07:59,20.45,144.50,7.00
2020-Jun-08 08:59,20.62,144.10,7.00
2020-Jun-08 09:59,21.05,144.00,7.00
2020-Jun-08 10:59,21.29,142.10,7.00
2020-Jun-08 11:59,21.23,142.30,7.00
2020-Jun-08 12:59,21.53,144.20,7.00
2020-Jun-08 13:59,21.17,143.90,7.01
2020-Jun-08 14:59,21.06,144.00,7.00
2020-Jun-08 15:59,21.21,144.70,7.00
2020-Jun-08 16:59,21.58,144.00,7.00
2020-Jun-08 17:59,19.70,143.90,7.00
2020-Jun-08 18:59,18.93,142.70,7.01
2020-Jun-08 19:59,18.05,137.30,7.00
2020-Jun-08 20:59,17.43,136.10,7.01
2020-Jun-08 21:59,17.10,135.60,7.01
2020-Jun-08 22:59,16.69,133.70,7.00
2020-Jun-08 23:59,15.98,133.50,7.00
2020-Jun-09 00:59,15.90,131.90,7.00
2020-Jun-09 01:59,15.61,131.20,7.00
2020-Jun-09 02:59,15.13,130.60,7.00
2020-Jun-09 03:59,19.94,129.60,7.00
2020-Jun-09 04:59,17.40,130.00,7.00
2020-Jun-09 05:59,16.62,128.50,7.00
2020-Jun-09 06:59,16.27,128.70,7.00
2020-Jun-09 07:59,16.22,127.20,7.00
2020-Jun-09 08:59,16.82,127.70,7.00
2020-Jun-09 09:59,16.75,88.32,7.00
2020-Jun-09 10:59,17.05,88.57,7.00
2020-Jun-09 11:59,17.34,88.54,7.00
2020-Jun-09 12:59,17.61,93.28,7.00
2020-Jun-09 13:59,17.86,92.78,7.00
2020-Jun-09 14:59,18.08,89.41,7.00
2020-Jun-09 15:59,18.28,91.37,7.00
2020-Jun-09 16:59,18.49,91.67,7.00
2020-Jun-09 17:59,18.62,96.55,7.00
2020-Jun-09 18:59,18.63,97.08,7.00
2020-Jun-09 19:59,18.56,97.96,7.00
2020-Jun-09 20:59,18.46,99.37,7.00
2020-Jun-09 21:59,18.35,99.12,7.00
2020-Jun-09 22:59,18.22,99.57,7.00
2020-Jun-09 23:59,18.08,98.91,7.00
2020-Jun-10 00:59,17.92,99.09,7.00
2020-Jun-10 01:59,17.75,98.60,7.00
2020-Jun-10 02:59,17.58,98.44,7.00
2020-Jun-10 03:59,17.68,97.62,7.00
2020-Jun-10 04:59,17.89,98.79,7.00
2020-Jun-10 05:59,17.91,98.64,7.00
2020-Jun-10 06:59,17.89,98.92,7.00
2020-Jun-10 07:59,17.85,98.67,7.00
2020-Jun-10 08:59,17.91,98.49,7.00
2020-Jun-10 09:59,18.07,98.97,7.00
2020-Jun-10 10:59,18.34,99.79,7.00
2020-Jun-10 11:59,18.59,100.70,7.00
2020-Jun-10 12:59,18.78,101.70,7.00
2020-Jun-10 13:59,18.99,102.30,7.00
2020-Jun-10 14:59,19.18,103.50,7.00
2020-Jun-10 15:59,19.38,104.20,7.00
2020-Jun-10 16:59,19.55,104.70,7.00
2020-Jun-10 17:59,19.66,106.10,7.00
2020-Jun-10 18:59,19.67,106.30,7.00
2020-Jun-10 19:59,19.61,106.50,7.00
2020-Jun-10 20:59,19.50,107.30,7.00
2020-Jun-10 21:59,19.34,106.60,7.00
2020-Jun-10 22:59,19.16,106.90,6.99
2020-Jun-10 23:59,18.95,106.80,7.00
2020-Jun-11 00:59,18.74,106.40,7.00
2020-Jun-11 01:59,18.53,106.40,7.00
2020-Jun-11 02:59,18.30,106.30,7.00
2020-Jun-11 03:59,18.34,105.70,7.00
2020-Jun-11 04:59,18.47,106.10,7.00
2020-Jun-11 05:59,18.39,107.40,7.00
2020-Jun-11 06:59,18.28,107.30,7.00
2020-Jun-11 07:59,18.16,106.40,7.00
2020-Jun-11 08:59,18.09,106.90,7.00
2020-Jun-11 09:59,18.12,106.70,7.00
2020-Jun-11 10:59,18.31,107.50,7.00
2020-Jun-11 11:59,18.52,108.40,7.00
2020-Jun-11 12:59,18.72,104.50,7.00
2020-Jun-11 13:59,18.89,103.40,7.00
2020-Jun-17 17:34,19.33,128.50,7.00
